TU#,Red Bonus,Blue Bonus,Green Bonus,Orange Bonus,Yellow Bonus,Purple Bonus,Captain No-Beard,YungBrownie,Parth,Theresa,Doug Simons,AlanSuguru,Natural Log,Michaelp,Michaelp,
1,0,10,0,0,0,0,"15
"
2,0,10,0,0,0,0,,"10
"
3,0,30,0,0,0,0,,"10
"
4,0,30,0,0,0,0,,"10
"
5,20,0,0,0,0,0,,,"10
"
6,0,10,0,0,0,0,,,,"10
"
7,20,0,0,0,0,0,,,,,"15
"
8,20,0,0,0,0,0,,,,,,"15
"
9,0,20,0,0,0,0,,"10
"
10,20,0,0,0,0,0,0,"
11,0,30,0,0,0,0,"10
"
12,0,0,0,0,0,0,,,"-5
"
13,20,0,0,0,0,0,,,,,"10
"
14,20,0,0,0,0,0,,,,,,"15
"
15,0,0,0,0,0,0,,,,,,,,-5
16,10,0,0,0,0,0,,,,,"15
"
17,0,30,0,0,0,0,,"15
"
18,0,0,0,0,0,0,,,,,,0
19,20,0,0,0,0,0,,,,,"10
"
20,0,0,0,0,0,0,,,"15
"
Total:,150,170,0,0,0,0,20,55,20,10,65,30,10,-5,
